Rank,City,State,Population
1,New York,New York,"5,620,048"
2,Chicago,Illinois,"2,701,705"
3,Philadelphia,Pennsylvania,"1,823,779"
4,Detroit,Michigan,"993,078"
5,Cleveland,Ohio,"796,841"
6,St. Louis,Missouri,"772,897"
7,Boston,Massachusetts,"748,060"
8,Baltimore,Maryland,"733,826"
9,Pittsburgh,Pennsylvania,"588,343"
10,Los Angeles,California,"576,673"
11,Buffalo,New York,"506,775"
12,San Francisco,California,"506,676"
13,Milwaukee,Wisconsin,"457,147"
14,Washington,District of Columbia,"437,571"
15,Newark,New Jersey,"414,524"
16,Cincinnati,Ohio,"401,247"
17,New Orleans,Louisiana,"387,219"
18,Minneapolis,Minnesota,"380,582"
19,Kansas City,Missouri,"324,410"
20,Seattle,Washington,"315,312"
21,Indianapolis,Indiana,"314,194"
22,Jersey City,New Jersey,"298,103"
23,Rochester,New York,"295,750"
24,Portland,Oregon,"258,288"
25,Denver,Colorado,"256,491"
26,Toledo,Ohio,"243,164"
27,Providence,Rhode Island,"237,595"
28,Columbus,Ohio,"237,031"
29,Louisville,Kentucky,"234,891"
30,Saint Paul,Minnesota,"234,698"
31,Oakland,California,"216,261"
32,Akron,Ohio,"208,435"
33,Atlanta,Georgia,"200,616"
34,Omaha,Nebraska,"191,601"
35,Worcester,Massachusetts,"179,754"
36,Birmingham,Alabama,"178,806"
37,Syracuse,New York,"171,717"
38,Richmond,Virginia,"171,667"
39,New Haven,Connecticut,"162,537"
40,Memphis,Tennessee,"162,351"
41,San Antonio,Texas,"161,379"
42,Dallas,Texas,"158,976"
43,Dayton,Ohio,"152,559"
44,Bridgeport,Connecticut,"143,555"
45,Houston,Texas,"138,276"
46,Hartford,Connecticut,"138,036"
47,Scranton,Pennsylvania,"137,783"
48,Grand Rapids,Michigan,"137,634"
49,Paterson,New Jersey,"135,875"
50,Youngstown,Ohio,"132,358"
51,Springfield,Massachusetts,"129,614"
52,Des Moines,Iowa,"126,468"
53,New Bedford,Massachusetts,"121,217"
54,Fall River,Massachusetts,"120,485"
55,Trenton,New Jersey,"119,289"
56,Nashville,Tennessee,"118,342"
57,Salt Lake City,Utah,"118,110"
58,Camden,New Jersey,"116,309"
59,Norfolk,Virginia,"115,777"
60,Albany,New York,"113,344"
61,Lowell,Massachusetts,"112,759"
62,Wilmington,Delaware,"110,168"
63,Cambridge,Massachusetts,"109,694"
64,Reading,Pennsylvania,"107,784"
65,Fort Worth,Texas,"106,482"
66,Spokane,Washington,"104,437"
67,Kansas City,Kansas,"101,177"
68,Yonkers,New York,"100,176"
69,Lynn,Massachusetts,"99,148"
70,Duluth,Minnesota,"98,917"
71,Tacoma,Washington,"96,965"
72,Elizabeth,New Jersey,"95,783"
73,Lawrence,Massachusetts,"94,270"
74,Utica,New York,"94,156"
75,Erie,Pennsylvania,"93,372"
76,Somerville,Massachusetts,"93,091"
77,Waterbury,Connecticut,"91,715"
78,Flint,Michigan,"91,599"
79,Jacksonville,Florida,"91,558"
80,Oklahoma City,Oklahoma,"91,295"
81,Schenectady,New York,"88,723"
82,Canton,Ohio,"87,091"
83,Fort Wayne,Indiana,"86,549"
84,Evansville,Indiana,"85,264"
85,Savannah,Georgia,"83,252"
86,Manchester,New Hampshire,"78,384"
87,St. Joseph,Missouri,"77,939"
88,Knoxville,Tennessee,"77,818"
89,El Paso,Texas,"77,560"
90,Bayonne,New Jersey,"76,754"
91,Peoria,Illinois,"76,121"
92,Harrisburg,Pennsylvania,"75,917"
93,San Diego,California,"74,683"
94,Wilkes-Barre,Pennsylvania,"73,833"
95,Allentown,Pennsylvania,"73,502"
96,Wichita,Kansas,"72,217"
97,Tulsa,Oklahoma,"72,075"
98,Troy,New York,"71,996"
99,Sioux City,Iowa,"71,227"
100,South Bend,Indiana,"70,983"
